Date,Interval,Queue,Total Input,Total Output,AHT (s),Avg. Latency (s),Employee Count Login
6-Feb,11,Alpha,231,226,"37,11","364,23",10
6-Feb,11,Bravo,123,122,"4,11","54,15",4
6-Feb,11,Charly,58,0,0,0,0
6-Feb,11,Delta,0,0,0,0,0
6-Feb,12,Alpha,211,207,"34,79","222,42",12
6-Feb,12,Bravo,145,103,"3,98","442,86",3
6-Feb,12,Charly,39,61,"51,92","19268,23",3
6-Feb,12,Delta,9,0,0,0,0
6-Feb,13,Alpha,243,233,"37,78","143,21",13
6-Feb,13,Bravo,150,195,"3,8","470,37",5
6-Feb,13,Charly,41,154,"37,09","11097,62",3
6-Feb,13,Delta,0,8,"24,2","4489,75",1
6-Feb,14,Alpha,190,178,"36,51","233,77",11
6-Feb,14,Bravo,143,140,"3,49","77,95",3
6-Feb,14,Charly,42,56,"46,54","6322,43",3
6-Feb,14,Delta,278,155,"26,49","931,53",2
6-Feb,15,Alpha,181,178,"35,57","137,13",12
6-Feb,15,Bravo,157,160,"3,6","276,39",3
6-Feb,15,Charly,52,41,"43,54","7327,05",4
6-Feb,15,Delta,245,329,"34,08","1287,25",4
6-Feb,16,Alpha,199,179,"36,34","198,06",10
6-Feb,16,Bravo,121,122,"3,29","84,04",5
6-Feb,16,Charly,34,93,"43,83","3685,19",4
6-Feb,16,Delta,50,89,"39,22","427,34",4
6-Feb,17,Alpha,164,153,"33,41","229,99",10
6-Feb,17,Bravo,141,140,"3,15","729,56",4
6-Feb,17,Charly,46,61,"64,14","1573,77",5
6-Feb,17,Delta,9,9,"38,12","185,22",3
6-Feb,18,Alpha,176,178,"35,72","162,46",10
6-Feb,18,Bravo,132,132,"2,04","359,69",2
6-Feb,18,Charly,44,22,"40,67","763,5",4
6-Feb,18,Delta,75,72,"32,32","315,39",6
6-Feb,19,Alpha,183,160,"30,56","292,61",8
6-Feb,19,Bravo,148,92,"2,04","231,36",1
6-Feb,19,Charly,56,8,"61,19","5763,88",1
6-Feb,19,Delta,182,126,"29,52","875,05",3
6-Feb,20,Alpha,165,171,"33,08","330,88",6
6-Feb,20,Bravo,165,101,"3,28","3001,6",2
6-Feb,20,Charly,49,30,"45,26","6204,57",2
6-Feb,20,Delta,201,44,"30,87","1993,84",2
6-Feb,21,Alpha,163,161,"30,87","195,67",8
6-Feb,21,Bravo,243,365,"4,47","483,95",3
6-Feb,21,Charly,58,89,"34,94","6027,89",3
6-Feb,21,Delta,0,217,"31,62","2376,08",8
6-Feb,22,Alpha,111,105,"34,96","336,54",9
6-Feb,22,Bravo,183,182,"5,56","8,22",3
6-Feb,22,Charly,45,111,"36,01","2634,55",3
6-Feb,22,Delta,3,0,0,0,0
6-Feb,23,Alpha,72,66,"35,56","202,86",7
6-Feb,23,Bravo,157,153,"4,6","45,84",3
6-Feb,23,Charly,35,15,"50,68","1757,13",2
6-Feb,23,Delta,12,14,"34,41","1681,07",1
7-Feb,0,Alpha,48,50,"29,11","339,9",2
7-Feb,0,Bravo,88,91,"4,27","49,34",4
7-Feb,0,Charly,15,29,"39,44","2613,17",3
7-Feb,0,Delta,1,0,0,0,0
7-Feb,1,Alpha,26,28,"23,76","240,21",1
7-Feb,1,Bravo,59,60,"4,46","105,38",2
7-Feb,1,Charly,9,9,"23,68","2484,22",1
7-Feb,1,Delta,0,0,0,0,0
7-Feb,2,Alpha,25,18,"27,3","560,28",1
7-Feb,2,Bravo,59,58,"5,64","88,83",2
7-Feb,2,Charly,6,11,"30,97","1709,91",2
7-Feb,2,Delta,0,0,0,0,0
7-Feb,3,Alpha,11,13,"27,92","713,77",1
7-Feb,3,Bravo,45,41,"5,85","140,27",2
7-Feb,3,Charly,6,8,"53,57","602,88",2
7-Feb,3,Delta,0,0,0,0,0
7-Feb,4,Alpha,23,18,"25,54","166,67",1
7-Feb,4,Bravo,51,56,"4,33","145,96",2
7-Feb,4,Charly,5,4,"51,1","225,25",2
7-Feb,4,Delta,0,0,0,0,0
7-Feb,5,Alpha,50,36,"27,84","287,39",1
7-Feb,5,Bravo,65,65,"5,02","151,2",2
7-Feb,5,Charly,11,5,"40,03","237,8",1
7-Feb,5,Delta,0,0,0,0,0
7-Feb,6,Alpha,83,86,"31,99","617,02",2
7-Feb,6,Bravo,77,75,"4,25","323,92",2
7-Feb,6,Charly,21,19,"29,81","2228,63",1
7-Feb,6,Delta,6,5,"21,89",9076,1
7-Feb,7,Alpha,99,84,"36,95","414,09",3
7-Feb,7,Bravo,87,80,"4,03","205,26",2
7-Feb,7,Charly,24,0,0,0,0
7-Feb,7,Delta,0,0,0,0,0
7-Feb,8,Alpha,127,120,"36,94","443,11",6
7-Feb,8,Bravo,98,106,"4,39","146,01",4
7-Feb,8,Charly,19,16,"40,51","6958,69",1
7-Feb,8,Delta,0,0,0,0,0
7-Feb,9,Alpha,195,173,"34,6","613,31",5
7-Feb,9,Bravo,110,108,"5,21","75,19",3
7-Feb,9,Charly,48,1,"121,45",5695,1
7-Feb,9,Delta,44,0,0,0,0
7-Feb,10,Alpha,187,211,"38,2","540,73",10
7-Feb,10,Bravo,143,144,"4,39","160,09",5
7-Feb,10,Charly,42,42,"39,68","8696,05",2
7-Feb,10,Delta,1,0,0,0,0
7-Feb,11,Alpha,212,199,"36,66","81,11",8
7-Feb,11,Bravo,158,160,"3,7","74,41",5
7-Feb,11,Charly,42,102,"37,42","3635,78",4
7-Feb,11,Delta,0,0,0,0,0
7-Feb,12,Alpha,274,268,"36,36","167,38",15
7-Feb,12,Bravo,133,129,"3,88","88,71",3
7-Feb,12,Charly,53,6,"32,87","4179,5",1
7-Feb,12,Delta,0,0,0,0,0
7-Feb,13,Alpha,238,227,"38,25","188,14",13
7-Feb,13,Bravo,169,148,"3,53","123,8",4
7-Feb,13,Charly,47,85,"34,57","2716,71",5
7-Feb,13,Delta,15,5,"48,14","21317,6",1
7-Feb,14,Alpha,182,142,"37,25",486,9
7-Feb,14,Bravo,149,168,"4,63","212,43",5
7-Feb,14,Charly,35,15,"23,21","4172,07",3
7-Feb,14,Delta,24,0,0,0,0
7-Feb,15,Alpha,213,242,"37,61","427,46",14
7-Feb,15,Bravo,121,117,"3,27","173,89",3
7-Feb,15,Charly,48,84,"53,5",2606,6
7-Feb,15,Delta,115,26,"40,74","21107,69",2
7-Feb,16,Alpha,202,196,"41,98","156,27",11
7-Feb,16,Bravo,152,163,"4,1","257,2",4
7-Feb,16,Charly,43,46,"69,38","993,5",5
7-Feb,16,Delta,31,200,"38,13","4939,81",13
7-Feb,17,Alpha,198,180,"38,95","153,62",9
7-Feb,17,Bravo,134,131,"3,01","174,09",4
7-Feb,17,Charly,59,60,"67,01","521,03",5
7-Feb,17,Delta,201,92,"35,37","782,82",3
7-Feb,18,Alpha,193,192,"37,15","189,69",10
7-Feb,18,Bravo,154,156,"7,55","326,7",3
7-Feb,18,Charly,58,12,"33,32","1378,58",2
7-Feb,18,Delta,47,111,"34,2","3486,12",2
7-Feb,19,Alpha,215,192,"36,29","343,21",8
7-Feb,19,Bravo,155,71,"1,94","2159,04",2
7-Feb,19,Charly,46,26,"56,4","3674,46",2
7-Feb,19,Delta,20,16,"62,86","3734,88",2
7-Feb,20,Alpha,178,177,"36,68","516,8",8
7-Feb,20,Bravo,189,82,"1,82","3778,38",1
7-Feb,20,Charly,47,83,"57,43","4110,98",3
7-Feb,20,Delta,0,0,0,0,0
7-Feb,21,Alpha,186,198,"34,5","372,04",7
7-Feb,21,Bravo,198,357,"3,58","2393,63",4
7-Feb,21,Charly,40,62,"43,05","3135,4",6
7-Feb,21,Delta,21,56,"41,16","8288,88",1
7-Feb,22,Alpha,125,124,"36,52","76,77",6
7-Feb,22,Bravo,165,178,"3,05","488,12",3
7-Feb,22,Charly,30,36,"52,81","1117,5",5
7-Feb,22,Delta,11,22,"32,49","3012,82",2
7-Feb,23,Alpha,90,86,"32,58","55,48",4
7-Feb,23,Bravo,139,158,"3,99","466,89",2
7-Feb,23,Charly,29,43,"43,28","570,12",1
7-Feb,23,Delta,58,61,"35,32","961,52",2
8-Feb,0,Alpha,54,52,"28,11","49,62",3
8-Feb,0,Bravo,104,99,"2,65","118,88",4
8-Feb,0,Charly,16,10,"50,93","762,3",2
8-Feb,0,Delta,1,3,"36,17","2065,33",1
8-Feb,1,Alpha,42,40,"33,48","55,82",2
8-Feb,1,Bravo,63,65,"2,1","553,17",2
8-Feb,1,Charly,7,12,"38,24","1968,08",1
8-Feb,1,Delta,4,4,"25,6","109,25",1
8-Feb,2,Alpha,38,36,"27,91","72,86",1
8-Feb,2,Bravo,46,0,0,0,0
8-Feb,2,Charly,5,6,"27,39",148,1
8-Feb,2,Delta,10,6,"29,38","241,5",2
8-Feb,3,Alpha,18,19,"33,02","168,26",3
8-Feb,3,Bravo,49,71,"4,02","3341,37",1
8-Feb,3,Charly,5,1,"30,47",816,1
8-Feb,3,Delta,11,7,"48,51","875,86",1
8-Feb,4,Alpha,22,21,"46,13","133,57",2
8-Feb,4,Bravo,67,95,"4,8","636,38",2
8-Feb,4,Charly,9,10,"56,67","643,3",1
8-Feb,4,Delta,6,14,"37,81","970,86",2
8-Feb,5,Alpha,37,31,"32,37","48,1",3
8-Feb,5,Bravo,83,83,"3,7","187,59",2
8-Feb,5,Charly,10,9,"46,92","973,44",1
8-Feb,5,Delta,4,3,"31,75",100,1
8-Feb,6,Alpha,64,57,"40,08","276,36",3
8-Feb,6,Bravo,69,65,"3,78","195,62",2
8-Feb,6,Charly,13,0,0,0,0
8-Feb,6,Delta,0,0,0,0,0
8-Feb,7,Alpha,111,106,"35,67","149,75",4
8-Feb,7,Bravo,92,88,"2,74","280,56",2
8-Feb,7,Charly,28,0,0,0,0
8-Feb,7,Delta,0,0,0,0,0
8-Feb,8,Alpha,150,141,"36,54","306,32",7
8-Feb,8,Bravo,85,92,"4,45","85,7",4
8-Feb,8,Charly,24,0,0,0,0
8-Feb,8,Delta,0,0,0,0,0
8-Feb,9,Alpha,173,155,"36,31","511,02",7
8-Feb,9,Bravo,103,104,"4,96","80,78",4
8-Feb,9,Charly,39,15,"47,19","12461,4",1
8-Feb,9,Delta,47,0,0,0,0
8-Feb,10,Alpha,179,176,"35,02","932,74",9
8-Feb,10,Bravo,113,112,"4,58","85,57",5
8-Feb,10,Charly,34,23,"51,1","10377,39",1
8-Feb,10,Delta,0,1,"104,01",17244,1
8-Feb,11,Alpha,285,260,"36,48","289,15",7
8-Feb,11,Bravo,131,127,"4,38","149,54",4
8-Feb,11,Charly,41,9,"41,53","13191,33",1
8-Feb,11,Delta,87,0,0,0,0
8-Feb,12,Alpha,275,269,"37,49","345,8",12
8-Feb,12,Bravo,147,152,"4,21","93,12",5
8-Feb,12,Charly,32,38,"49,94","13811,79",5
8-Feb,12,Delta,5,25,"27,77","12904,8",5
8-Feb,13,Alpha,201,194,"35,22","176,98",11
8-Feb,13,Bravo,138,133,"4,35","66,99",6
8-Feb,13,Charly,29,158,"55,04","7068,4",6
8-Feb,13,Delta,0,106,"32,7","7298,17",7
8-Feb,14,Alpha,186,176,"35,26","251,35",9
8-Feb,14,Bravo,414,419,"4,3",61,6
8-Feb,14,Charly,39,26,"53,65","997,38",2
8-Feb,14,Delta,18,7,"30,23",7236,1
8-Feb,15,Alpha,199,178,"35,29","179,99",12
8-Feb,15,Bravo,120,116,"4,15","287,17",4
8-Feb,15,Charly,31,37,"44,49","581,43",3
8-Feb,15,Delta,3,14,"37,03","2600,21",3
8-Feb,16,Alpha,241,208,"35,74","509,62",15
8-Feb,16,Bravo,108,105,"4,28","106,03",4
8-Feb,16,Charly,28,31,"50,27","967,26",4
8-Feb,16,Delta,14,16,"27,7","1030,31",2
8-Feb,17,Alpha,186,192,"37,73","475,58",11
8-Feb,17,Bravo,131,138,"3,7","135,03",4
8-Feb,17,Charly,27,29,"38,16","427,31",4
8-Feb,17,Delta,9,0,0,0,0
8-Feb,18,Alpha,208,193,"36,15","435,53",9
8-Feb,18,Bravo,140,139,"4,35","95,49",4
8-Feb,18,Charly,26,23,"49,06",548,5
8-Feb,18,Delta,14,28,"39,6","5951,86",2
8-Feb,19,Alpha,231,225,"36,98","456,57",9
8-Feb,19,Bravo,188,174,"2,52","700,98",3
8-Feb,19,Charly,42,28,"43,28","542,21",3
8-Feb,19,Delta,0,0,0,0,0
8-Feb,20,Alpha,189,152,"32,7","771,33",8
8-Feb,20,Bravo,175,68,"4,05","1796,78",1
8-Feb,20,Charly,27,21,"35,34","1111,76",1
8-Feb,20,Delta,87,0,0,0,0
8-Feb,21,Alpha,170,211,"38,65","590,51",11
8-Feb,21,Bravo,159,71,"1,81","4122,89",1
8-Feb,21,Charly,35,18,"32,4","4679,67",2
8-Feb,21,Delta,31,104,"34,55","2660,56",5
8-Feb,22,Alpha,141,128,"36,42","150,91",8
8-Feb,22,Bravo,196,399,"4,12","1636,25",4
8-Feb,22,Charly,17,50,"30,9","2942,88",4
8-Feb,22,Delta,0,15,"34,31","4472,8",3
8-Feb,23,Alpha,86,88,"35,36","204,8",8
8-Feb,23,Bravo,136,143,"3,22","495,66",4
8-Feb,23,Charly,15,25,"30,55","1031,64",3
8-Feb,23,Delta,8,8,"34,78","1144,5",1
9-Feb,0,Alpha,56,50,"43,64","197,16",4
9-Feb,0,Bravo,105,104,"3,85","68,1",4
9-Feb,0,Charly,12,9,"47,41","375,33",3
9-Feb,0,Delta,0,0,0,0,0
9-Feb,1,Alpha,26,27,"41,59","203,92",4
9-Feb,1,Bravo,76,68,"5,69","1768,06",1
9-Feb,1,Charly,8,8,"32,83",379,1
9-Feb,1,Delta,0,0,0,0,0
9-Feb,2,Alpha,27,26,"38,86",212,3
9-Feb,2,Bravo,57,65,"1,71","1152,8",1
9-Feb,2,Charly,7,8,"50,35","813,5",1
9-Feb,2,Delta,0,0,0,0,0
9-Feb,3,Alpha,21,20,"34,39","264,9",3
9-Feb,3,Bravo,31,31,"4,29","209,42",1
9-Feb,3,Charly,4,5,"37,68","505,4",1
9-Feb,3,Delta,0,0,0,0,0
9-Feb,4,Alpha,16,16,"34,14","109,81",3
9-Feb,4,Bravo,53,54,"2,77","213,8",2
9-Feb,4,Charly,10,6,"37,67","1041,67",2
9-Feb,4,Delta,0,0,0,0,0
9-Feb,5,Alpha,32,28,"32,2","52,93",3
9-Feb,5,Bravo,72,71,"2,38","338,06",2
9-Feb,5,Charly,12,1,"182,54",1699,1
9-Feb,5,Delta,0,0,0,0,0
9-Feb,6,Alpha,83,79,"35,98","304,71",4
9-Feb,6,Bravo,55,55,"4,19","126,8",2
9-Feb,6,Charly,17,0,0,0,0
9-Feb,6,Delta,0,0,0,0,0
9-Feb,7,Alpha,111,97,"35,44",194,4
9-Feb,7,Bravo,104,102,"3,87","228,54",2
9-Feb,7,Charly,21,0,0,0,0
9-Feb,7,Delta,0,0,0,0,0
9-Feb,8,Alpha,166,147,"36,68","589,4",8
9-Feb,8,Bravo,81,78,"3,66","98,95",4
9-Feb,8,Charly,22,0,0,0,0
9-Feb,8,Delta,0,0,0,0,0
9-Feb,9,Alpha,170,156,"37,38","351,73",8
9-Feb,9,Bravo,132,138,"4,38","69,62",3
9-Feb,9,Charly,63,0,0,0,0
9-Feb,9,Delta,0,0,0,0,0
9-Feb,10,Alpha,209,202,"36,44","528,99",11
9-Feb,10,Bravo,131,125,"4,44","80,41",4
9-Feb,10,Charly,48,91,"60,82","11046,24",5
9-Feb,10,Delta,1,0,0,0,0
9-Feb,11,Alpha,241,219,"36,98","614,45",14
9-Feb,11,Bravo,130,132,"4,6","97,02",4
9-Feb,11,Charly,35,51,42,"6143,27",3
9-Feb,11,Delta,2,3,"47,95","995,67",1
9-Feb,12,Alpha,205,227,"35,31","457,43",10
9-Feb,12,Bravo,153,156,"3,5","554,92",5
9-Feb,12,Charly,56,102,"62,7","4367,48",5
9-Feb,12,Delta,0,0,0,0,0
9-Feb,13,Alpha,188,171,"37,14","339,7",10
9-Feb,13,Bravo,140,140,"4,37","81,39",5
9-Feb,13,Charly,54,76,"67,9","975,13",3
9-Feb,13,Delta,10,10,"28,2","102,2",3
9-Feb,14,Alpha,225,204,"36,32","455,6",13
9-Feb,14,Bravo,129,126,"4,32","244,6",5
9-Feb,14,Charly,71,81,"39,11","226,35",3
9-Feb,14,Delta,0,0,0,0,0
9-Feb,15,Alpha,216,197,"36,14","439,99",12
9-Feb,15,Bravo,111,108,"3,72","163,38",3
9-Feb,15,Charly,46,31,"77,05","722,35",4
9-Feb,15,Delta,0,0,0,0,0
9-Feb,16,Alpha,214,206,"34,27","551,46",13
9-Feb,16,Bravo,111,107,"3,76","237,19",4
9-Feb,16,Charly,61,68,"48,25","544,47",5
9-Feb,16,Delta,6,4,"22,52","279,25",1
9-Feb,17,Alpha,158,177,"35,41","190,9",8
9-Feb,17,Bravo,125,135,"3,4","198,93",3
9-Feb,17,Charly,53,50,"57,94","463,6",6
9-Feb,17,Delta,0,2,"39,98","3473,5",1
9-Feb,18,Alpha,160,148,"34,08","174,89",9
9-Feb,18,Bravo,141,136,"2,69","444,23",3
9-Feb,18,Charly,50,58,"67,99","820,93",3
9-Feb,18,Delta,0,0,0,0,0
9-Feb,19,Alpha,193,179,"36,42","163,44",4
9-Feb,19,Bravo,150,131,"3,47","1344,18",3
9-Feb,19,Charly,67,71,"48,92","287,28",4
9-Feb,19,Delta,0,0,0,0,0
9-Feb,20,Alpha,181,114,"38,22","594,27",7
9-Feb,20,Bravo,163,167,"4,25",321,2
9-Feb,20,Charly,56,3,"35,48","1734,67",3
9-Feb,20,Delta,13,9,"36,18","1108,78",1
9-Feb,21,Alpha,160,193,"35,17","707,19",10
9-Feb,21,Bravo,174,14,"4,49","273,2",1
9-Feb,21,Charly,42,2,"51,45","6334,5",1
9-Feb,21,Delta,15,0,0,0,0
9-Feb,22,Alpha,120,129,"40,14","461,37",9
9-Feb,22,Bravo,162,91,"3,48","6357,8",2
9-Feb,22,Charly,39,131,"37,15","3293,68",7
9-Feb,22,Delta,0,0,0,0,0
9-Feb,23,Alpha,109,103,"38,99","319,91",7
9-Feb,23,Bravo,133,385,"3,69","3670,5",4
9-Feb,23,Charly,37,3,"34,66","2544,67",2
9-Feb,23,Delta,0,16,"35,31","9843,31",3
10-Feb,0,Alpha,53,60,"34,81","377,9",3
10-Feb,0,Bravo,94,79,"3,03","125,85",4
10-Feb,0,Charly,20,21,"28,43","5684,9",1
10-Feb,0,Delta,0,0,0,0,0
10-Feb,1,Alpha,38,33,"31,11","161,55",4
10-Feb,1,Bravo,55,66,"3,62","1421,62",1
10-Feb,1,Charly,20,0,0,0,0
10-Feb,1,Delta,0,0,0,0,0
10-Feb,2,Alpha,20,20,"34,45","308,85",3
10-Feb,2,Bravo,48,28,"2,55","362,86",2
10-Feb,2,Charly,14,66,"30,54","5183,8",3
10-Feb,2,Delta,5,0,0,0,0
10-Feb,3,Alpha,19,20,"27,47","1156,7",2
10-Feb,3,Bravo,64,81,"2,04","1354,99",2
10-Feb,3,Charly,4,2,"60,89","1785,5",2
10-Feb,3,Delta,0,5,"39,23","6238,8",1
10-Feb,4,Alpha,19,20,"29,61","136,9",2
10-Feb,4,Bravo,60,50,"4,69","197,1",2
10-Feb,4,Charly,7,12,"25,97",1201,1
10-Feb,4,Delta,0,0,0,0,0
10-Feb,5,Alpha,41,33,"34,57","286,24",3
10-Feb,5,Bravo,64,76,"4,01","1690,59",2
10-Feb,5,Charly,12,5,45,"468,6",2
10-Feb,5,Delta,0,0,0,0,0
10-Feb,6,Alpha,71,60,"38,87","484,89",4
10-Feb,6,Bravo,64,68,"4,35","107,54",2
10-Feb,6,Charly,20,0,0,0,0
10-Feb,6,Delta,0,3,"36,11","27161,33",1
10-Feb,7,Alpha,133,127,"40,81","490,34",5
10-Feb,7,Bravo,86,86,"4,32","77,99",2
10-Feb,7,Charly,24,42,"53,57","3123,29",2
10-Feb,7,Delta,0,0,0,0,0
10-Feb,8,Alpha,150,131,"37,96","583,42",9
10-Feb,8,Bravo,87,87,"3,9","125,13",4
10-Feb,8,Charly,36,5,"55,81","3984,2",1
10-Feb,8,Delta,0,0,0,0,0
10-Feb,9,Alpha,187,163,36,"440,96",9
10-Feb,9,Bravo,98,97,"3,93","63,09",4
10-Feb,9,Charly,40,52,"45,8","2171,17",5
10-Feb,9,Delta,0,0,0,0,0
10-Feb,10,Alpha,196,198,"36,12","437,56",11
10-Feb,10,Bravo,120,121,"3,94","124,08",3
10-Feb,10,Charly,49,56,"32,14","1530,02",2
10-Feb,10,Delta,0,0,0,0,0
10-Feb,11,Alpha,248,233,"36,73","387,59",14
10-Feb,11,Bravo,139,134,4,"75,01",5
10-Feb,11,Charly,53,33,"36,16","852,85",3
10-Feb,11,Delta,0,0,0,0,0
10-Feb,12,Alpha,229,231,"37,25","429,91",15
10-Feb,12,Bravo,146,150,"3,46","161,27",4
10-Feb,12,Charly,52,43,"48,53","3897,09",6
10-Feb,12,Delta,0,0,0,0,0
10-Feb,13,Alpha,211,161,"37,81","435,29",19
10-Feb,13,Bravo,154,101,"4,07","83,91",4
10-Feb,13,Charly,43,71,"43,78","2523,7",5
10-Feb,13,Delta,1,0,0,0,0
10-Feb,14,Alpha,225,230,"39,72","680,64",15
10-Feb,14,Bravo,135,188,"3,37","259,56",4
10-Feb,14,Charly,52,44,"68,92","1293,55",4
10-Feb,14,Delta,0,1,"23,21",1140,1
10-Feb,15,Alpha,272,276,"38,01","414,64",18
10-Feb,15,Bravo,108,108,"3,33","197,14",3
10-Feb,15,Charly,46,27,"92,29","3838,41",2
10-Feb,15,Delta,1,0,0,0,0
10-Feb,16,Alpha,192,194,"38,36","116,16",13
10-Feb,16,Bravo,94,96,"3,18","131,64",3
10-Feb,16,Charly,37,53,"71,88","3798,79",5
10-Feb,16,Delta,1,0,0,0,0
10-Feb,17,Alpha,196,187,"34,76","157,37",9
10-Feb,17,Bravo,113,113,"2,59","299,88",2
10-Feb,17,Charly,36,58,"57,85","1468,6",6
10-Feb,17,Delta,40,40,"24,35","463,3",5
10-Feb,18,Alpha,209,196,"34,9","267,04",11
10-Feb,18,Bravo,126,123,"3,07","728,23",2
10-Feb,18,Charly,47,13,"33,46","1628,38",3
10-Feb,18,Delta,0,2,"19,4",1979,1
10-Feb,19,Alpha,197,149,"38,99","954,81",8
10-Feb,19,Bravo,145,148,"2,3","216,74",2
10-Feb,19,Charly,62,45,"68,03","3671,27",3
10-Feb,19,Delta,0,0,0,0,0
10-Feb,20,Alpha,169,170,"34,05","872,5",7
10-Feb,20,Bravo,178,20,"2,38","689,4",1
10-Feb,20,Charly,39,1,"302,43",3593,3
10-Feb,20,Delta,0,0,0,0,0
10-Feb,21,Alpha,275,263,"33,92","495,57",9
10-Feb,21,Bravo,187,258,"3,63","3267,76",2
10-Feb,21,Charly,42,73,"36,62","7314,1",4
10-Feb,21,Delta,15,13,"30,27","1076,15",1
10-Feb,22,Alpha,107,134,"40,01","457,49",10
10-Feb,22,Bravo,171,222,"2,38","1060,59",2
10-Feb,22,Charly,39,106,"41,77","2942,5",3
10-Feb,22,Delta,8,9,"27,76","695,33",2
10-Feb,23,Alpha,81,73,"33,25","393,5",8
10-Feb,23,Bravo,143,178,3,"1164,2",3
10-Feb,23,Charly,30,0,0,0,0
10-Feb,23,Delta,106,56,"30,13","515,36",4
11-Feb,0,Alpha,46,47,"36,39","504,81",4
11-Feb,0,Bravo,93,91,"3,05","61,4",3
11-Feb,0,Charly,24,28,"22,38","4495,32",1
11-Feb,0,Delta,15,45,"32,9","2165,51",3
11-Feb,1,Alpha,19,16,"35,56","208,87",2
11-Feb,1,Bravo,53,55,"2,15","573,22",2
11-Feb,1,Charly,6,25,"32,96","5472,12",1
11-Feb,1,Delta,0,0,0,0,0
11-Feb,2,Alpha,10,14,"35,85","740,21",3
11-Feb,2,Bravo,56,54,"2,47","790,7",2
11-Feb,2,Charly,7,16,"26,45","1570,19",2
11-Feb,2,Delta,21,0,0,0,0
11-Feb,3,Alpha,17,16,"31,32","220,25",2
11-Feb,3,Bravo,38,40,"3,89","177,38",2
11-Feb,3,Charly,7,6,"25,8","93,67",1
11-Feb,3,Delta,23,32,"34,83","8334,72",3
11-Feb,4,Alpha,17,13,"35,34","681,31",4
11-Feb,4,Bravo,54,48,"2,87","303,63",2
11-Feb,4,Charly,6,6,"28,94","721,83",2
11-Feb,4,Delta,0,0,0,0,0
11-Feb,5,Alpha,51,43,"31,41","383,63",3
11-Feb,5,Bravo,57,50,"2,88","209,78",2
11-Feb,5,Charly,17,11,"48,65","422,82",2
11-Feb,5,Delta,0,0,0,0,0
11-Feb,6,Alpha,71,70,"37,15","250,21",5
11-Feb,6,Bravo,75,88,"3,74","197,13",2
11-Feb,6,Charly,33,34,"79,01","1039,47",3
11-Feb,6,Delta,0,0,0,0,0
11-Feb,7,Alpha,118,116,"35,66","193,4",6
11-Feb,7,Bravo,84,80,"4,19","63,39",2
11-Feb,7,Charly,27,15,"67,32",662,3
11-Feb,7,Delta,0,0,0,0,0
11-Feb,8,Alpha,140,128,"44,4","346,51",10
11-Feb,8,Bravo,78,82,"3,89","72,09",4
11-Feb,8,Charly,52,16,"40,47","2998,06",3
11-Feb,8,Delta,0,33,"35,69","19867,91",3
11-Feb,9,Alpha,190,190,"43,54","186,32",10
11-Feb,9,Bravo,96,87,"4,17","67,9",4
11-Feb,9,Charly,36,18,"47,25",6195,1
11-Feb,9,Delta,191,44,"47,96","1366,93",4
11-Feb,10,Alpha,203,174,"36,27","208,9",13
11-Feb,10,Bravo,100,109,"3,39","89,03",3
11-Feb,10,Charly,51,0,0,0,0
11-Feb,10,Delta,1,100,"49,28","2461,04",8
11-Feb,11,Alpha,206,206,"37,78",410,10
11-Feb,11,Bravo,131,130,"3,82","56,98",5
11-Feb,11,Charly,54,18,"69,76","10247,89",3
11-Feb,11,Delta,0,3,"30,79",5163,4
11-Feb,12,Alpha,167,174,"37,31","233,92",14
11-Feb,12,Bravo,157,156,"3,41","114,4",5
11-Feb,12,Charly,47,200,"38,63","5788,81",5
11-Feb,12,Delta,1,1,"23,07",12796,3
11-Feb,13,Alpha,178,157,"36,28","234,46",12
11-Feb,13,Bravo,124,112,"4,1","80,37",6
11-Feb,13,Charly,46,23,"38,54","646,22",3
11-Feb,13,Delta,0,21,"39,27","13856,52",4
11-Feb,14,Alpha,285,264,"36,71",339,16
11-Feb,14,Bravo,209,222,"3,03","59,02",6
11-Feb,14,Charly,37,38,"27,42","1622,47",5
11-Feb,14,Delta,0,0,0,0,0
11-Feb,15,Alpha,222,221,"34,52","114,45",12
11-Feb,15,Bravo,135,130,"3,33","82,51",4
11-Feb,15,Charly,45,54,"31,35","1519,13",6
11-Feb,15,Delta,8,0,0,0,0
11-Feb,16,Alpha,174,161,"33,28","160,8",11
11-Feb,16,Bravo,121,127,"3,18","209,41",5
11-Feb,16,Charly,52,39,"50,97","2812,1",5
11-Feb,16,Delta,0,2,"36,68",25730,1
11-Feb,17,Alpha,179,167,"35,73","159,26",10
11-Feb,17,Bravo,105,105,"2,7","109,25",3
11-Feb,17,Charly,33,60,"35,03","1173,83",7
11-Feb,17,Delta,0,10,"33,8","27923,3",3
11-Feb,18,Alpha,172,163,"36,71","114,71",10
11-Feb,18,Bravo,135,135,"2,92","60,53",3
11-Feb,18,Charly,47,40,"37,97","1857,35",4
11-Feb,18,Delta,0,3,"28,83","31356,33",1
11-Feb,19,Alpha,190,159,"29,27","232,01",8
11-Feb,19,Bravo,141,140,"2,26","124,42",1
11-Feb,19,Charly,48,47,"40,37","606,87",3
11-Feb,19,Delta,0,0,0,0,0
11-Feb,20,Alpha,147,167,"34,19","429,01",6
11-Feb,20,Bravo,191,56,"3,25","2289,52",1
11-Feb,20,Charly,34,15,"31,82","1679,93",3
